"Vinifera","Portainjerto","Combinacion","mean_WUEi","mean_Indice","mean_AN","mean_gs","n_obs"
"G15","110R","G15-110R",59.5442610226667,105.244883246174,11.6634619336667,0.224587957666667,30
"G15","140 Ru","G15- 140Ru",59.5636195826667,109.950445174114,10.8475851396667,0.214139787666667,30
"G15","RG8","G15- RG8",57.6719462026667,110.660125214878,11.817503394,0.222066315333333,30
"G15","SO4","G15- SO4",58.7274460453333,107.160329595937,10.334012375,0.204043817333333,30
"G435","110R","G435-110R",58.8286833546667,98.4983289383289,11.1050041403333,0.218371605666667,30
"G435","140 Ru","G435- 140Ru",58.4258780843333,115.123940482674,9.79387813066667,0.196321320333333,30
"G435","RG8","G435- RG8",57.4872191146667,102.166505824008,12.0350039573333,0.246623577,30
"G435","SO4","G435-SO4",65.1049588266667,135.280933464386,10.4021407723333,0.178002714,30
"T1052","110R","T1052- 110R",54.4580116183333,102.581419386057,12.0149830426667,0.244639885,30
"T1052","140 Ru","T1052- 140Ru",55.9448045496667,104.33731880351,10.6073746436667,0.206994132333333,30
"T1052","RG8","T1052- RG8",58.308187284,119.663232999141,10.6443049116667,0.197401589333333,30
"T1052","SO4","T1052- SO4",64.9664704496667,134.361769842732,11.2772800433333,0.180282981,30
"T232","110R","T232-110R",61.2778466963333,122.833380253224,10.3289910333333,0.183825358,30
"T232","140 Ru","T232- 140Ru",50.2623355893333,91.9565769435728,10.5293706816667,0.200751668,30
"T232","RG8","T232-RG8",60.7785330946667,106.80411342049,11.8256335116667,0.210699702,30
"T232","SO4","T232- SO4",63.298808561,128.342517827396,11.134247564,0.182788970666667,30
